,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
0,A7667,"['eSUN 1.75mm Glass Watermelon Red PLA 3D Printer filament 1kg Spool (2.2lbs), Glass Red', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.05 mm, 1 kg Spool, 1.75 mm, Green']","eSUN 1.75mm White ABS+ 3D Printer filament 1kg Spool (2.2lbs), White","[2281, 2583]",3414,"['<a_223><b_144><c_8>', '<a_223><b_198><c_165>']",<a_223><b_232><c_186>
1,A826,"['Oral-B Precision Black 7000 Rechargeable Electric Toothbrush 1 Count', 'Delta Power Equipment Corporation 50-723 1 hp Dust Collector', 'Seville Classics Commercial NSF Stainless Steel Top Worktable 49 x 24 inches', 'Racers Edge 3000 1/2-Ounce Bottle W Needle Tip', 'Sound Decibel Meter, GoerTek Digital Mini Sound Pressure Level Meter, Audio Noise Measurement 30-130dBA,MAX/MIN Hold,Auto Backlight Display-3AAA Battery Includedd (GM1352)', 'ATP IMBIBE NSF 61 Polyethylene Plastic Tubing, Blue, 11/64"" ID x 1/4"" OD, 100 feet Length', 'Banjo TF100 Polypropylene Bulkhead Tank Fitting, 1"" NPT Female', 'Spears 497 Series PVC Pipe Fitting, Union with EPDM O-Ring, Schedule 40, 1"" Socket', 'Lifegard Aquatics 1/2-Inch Bulkhead Fitting Kit', 'Anderson Metals Brass Garden Hose Swivel Fitting, Connector, 1/2"" Barb x 3/4"" Female Hose']","Anderson Metals Brass Garden Hose Fitting, Connector, 3/4"" Barb x 3/4"" Male Hose","[2122, 2123, 1653, 559, 2054, 2124, 2039, 211, 1842, 689]",2104,"['<a_197><b_165><c_1>', '<a_109><b_31><c_143>', '<a_109><b_106><c_6>', '<a_150><b_182><c_50>', '<a_158><b_165><c_7>', '<a_228><b_203><c_43>', '<a_108><b_70><c_212>', '<a_206><b_178><c_143>', '<a_108><b_123><c_221>', '<a_108><b_140><c_37>']",<a_108><b_88><c_54>
2,A5252,"['CRC 03084 11oz Dry Moly Lubricant Aerosol Spray', 'CRC 03084 11oz Dry Moly Lubricant Aerosol Spray', 'Malin - MS20995C Stainless Steel Safety Wire / Lockwire | .032"" Dia , Can', 'Nubee Non-Contact Digital Laser Infrared Thermometer Temperature Gun -58 &deg;F - 1022&deg;F(-50&deg;C - 550&deg;C) MAX Display, EMS Adjustable Function, Orange', 'Oatey 30200 Clear Cutting Oil, Hand Threads, 16-Ounce']","Gorilla Super Glue Gel, 20 Gram, Clear","[3390, 3390, 439, 620, 1019]",1959,"['<a_173><b_81><c_62>', '<a_173><b_81><c_62>', '<a_71><b_51><c_181>', '<a_107><b_133><c_57>', '<a_173><b_192><c_99>']",<a_165><b_210><c_108>
3,A7235,"['URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size', 'Hantek DSO5072P Digital Oscilloscope, 70 MHz Bandwidth, 1 GSa/s, 7.0"" Display', 'Keynice Digital Thermometer, Temperature Sensor USB Power Supply, Fahrenheit degree and Degrees Celsius color LCD Display, High Accurate-Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red","[176, 1337, 1724, 1573]",1850,"['<a_17><b_80><c_8>', '<a_36><b_186><c_161>', '<a_15><b_97><c_149>', '<a_223><b_198><c_214>']",<a_223><b_198><c_182>
4,A5918,"['Pentek 151122 OR-100 Buna-N O-ring for Big Blue Housings', 'Gizmo Dorks 3mm (2.85mm) ABS Filament 1kg / 2.2lb for 3D Printers, Black', 'Gizmo Dorks 3mm (2.85mm) ABS Filament 1kg / 2.2lb for 3D Printers, White', 'LulzBot TAZ 4 3D Printer', 'uxcell Metric Taps M2 Pitch 3 Flutes H2 Thread Plug Tap HSS for Clocks and Watches DIY', 'Vermont American 21152 14MM-1.25 High Carbon Steel Metric Spark Plug Tap']","eSUN 1.75mm Black PLA PRO (PLA+) 3D Printer Filament 1KG Spool (2.2lbs), Black","[1439, 3461, 3462, 2239, 1690, 2902]",1206,"['<a_52><b_209><c_125>', '<a_223><b_159><c_2>', '<a_223><b_159><c_132>', '<a_223><b_30><c_177>', '<a_224><b_176><c_243>', '<a_224><b_125><c_131>']",<a_158><b_245><c_180>
5,A4377,"['Heatshield Products 340410 Thermaflect Tape 4"" Wide x 10\' Heat Shield Tape', 'Gear Aid Aquaseal FD Flexible Repair Adhesive for Outdoor Gear and Vinyl, Clear Glue', 'SainSmart PLA-151 PLA Filament (Red)', 'Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'ELEGOO Stepstick Stepper Motor Driver Module A4988 + Heat Sink for 3D Printer Reprap, CNC Machine or Robotics(Pack of 5)']",Inland 1.75mm Natural PETG 3D Printer Filament - 1kg Spool (2.2 Lbs),"[1878, 1569, 2717, 2912, 2088]",3579,"['<a_79><b_9><c_17>', '<a_122><b_70><c_106>', '<a_223><b_66><c_158>', '<a_158><b_72><c_141>', '<a_158><b_89><c_164>']",<a_158><b_72><c_4>
6,A1476,"['Stainless Steel 304/304L Pipe Fitting, Nipple, Schedule 40 Welded, 4"" X 6"" NPT Male by Merit Brass', 'National Hardware S819-841 CD8377 51 Piece Peg Board Hook Kit in Zinc', 'Barge All Purpose Cement', '213C2 Karter Scientific Glass Graduated Cylinder 3 Piece Set 10, 50 & 100ml', 'Hornady 9991 One Shot Spray Case Lube with DynaGlide Plus (5 fl Oz Aerosol)', 'Industrial & Scientific"" />', 'Racers Edge 3000 1/2-Ounce Bottle W Needle Tip', 'Chemical Guys ACC_121.32HD Chemical Resistant Heavy Duty Bottle and Sprayer (32 oz)']","Stainless Steel 316/316L Pipe Fitting, Nipple, Schedule 40, Seamless, 1"" X 5-1/2"" NPT Male by Merit Brass","[101, 495, 1281, 824, 889, 54, 559, 515]",2830,"['<a_108><b_42><c_9>', '<a_71><b_69><c_199>', '<a_206><b_20><c_124>', '<a_94><b_75><c_129>', '<a_173><b_25><c_194>', '<a_15><b_206><c_230>', '<a_150><b_182><c_50>', '<a_150><b_132><c_2>']",<a_108><b_42><c_3>
7,A4243,"['TEKTON 7165 6-Inch Dial Caliper', 'Spectra PAR12-02 Parker Laboratories 360 Electrode Gel, 2 oz. Tube', 'SPECTRA 360 12-08 Electrode Gel, 250 g Tube (Pack of 2)']","SE 8436MVC 3"" Universal Table Vise","[1477, 1995, 1761]",1415,"['<a_104><b_33><c_123>', '<a_44><b_4><c_61>', '<a_44><b_4><c_3>']",<a_193><b_37><c_133>
8,A7235,"['URBEST 530 Pcs 2:1 Heat Shrink Tubing Tube Sleeving Wrap Cable Wire 5 Color 8 Size', 'Hantek DSO5072P Digital Oscilloscope, 70 MHz Bandwidth, 1 GSa/s, 7.0"" Display', 'Keynice Digital Thermometer, Temperature Sensor USB Power Supply, Fahrenheit degree and Degrees Celsius color LCD Display, High Accurate-Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue']","HATCHBOX PETG 3D Printer Filament, Dimensional Accuracy +/- 0.05 mm, 1 kg Spool, 1.75 mm, White","[176, 1337, 1724, 1573, 1850, 50]",2737,"['<a_17><b_80><c_8>', '<a_36><b_186><c_161>', '<a_15><b_97><c_149>', '<a_223><b_198><c_214>', '<a_223><b_198><c_182>', '<a_223><b_198><c_36>']",<a_223><b_72><c_114>
9,A7237,"['HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Red', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White","[1573, 562, 1850, 50]",1847,"['<a_223><b_198><c_214>', '<a_223><b_198><c_37>', '<a_223><b_198><c_182>', '<a_223><b_198><c_36>']",<a_223><b_20><c_170>
