,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
1133,A4493,"['Forney 72788 Wire Wheel Brush, Coarse Crimped with 5/8-Inch-11 Threaded Arbor, 4-Inch-by-.014-Inch', 'Uxcell s14032800am0476 Red Mushroom Cap 1NO 1NC DPST Emergency Stop Push Button Switch AC 660V 10A', 'Pixnor Measuring Cylinder Graduated Cylinder Lab Test Tube Set of 4', 'Teenitor 3ML Plastic Transfer Pipettes Eye Dropper Pack of 150 - Essential Oils Pipettes Dropper Makeup Tool', 'uxcell 5Pcs 2 Rows 12P Wire Connector Screw Terminal Barrier Block 300V 20A', 'Woodstock D4160 110-Volt Paddle Switch', 'HM Digital 1000ppm TDS Calibration Solution', '50 Pack - 4.5""x.040""x7/8"" Quality Thin Cut Off Wheels Metal & Stainless Steel']",Inkbird All-Purpose Digital Temperature Controller Fahrenheit &Centigrade Thermostat w Sensor 2 Relays ITC-1000,"[968, 3235, 2850, 2787, 2290, 1347, 2745, 459]",2383,"['<a_193><b_178><c_15>', '<a_236><b_38><c_182>', '<a_94><b_200><c_36>', '<a_17><b_216><c_49>', '<a_73><b_87><c_68>', '<a_236><b_7><c_56>', '<a_107><b_135><c_157>', '<a_193><b_106><c_86>']",<a_107><b_35><c_49>
1134,A1761,"['Loctite 1329837 243 Blue Medium Strength Threadlockers, 0.34 oz., 10 mL, 3/4"" Thread', 'Round Spacer, Aluminum, Plain Finish, #10 Screw Size, 3/8"" OD, 0.192"" ID, 1/8"" Length, Made in US (Pack of 10)', 'Wilton 11106 Wilton Bench Vise, Jaw Width 6-Inch, Jaw Opening 6-Inch', 'Wilton 11106 Wilton Bench Vise, Jaw Width 6-Inch, Jaw Opening 6-Inch', 'Neiko 53100A 4-Inch Pegboard Hooks and Organizer Assortment | 50-Piece Value Pack', 'RMP .125 3003 H14 Aluminum Sheet 12"" x 12', 'J-B Weld 50176 KwikWeld Steel Reinforced Epoxy Syringe - Dries Dark Grey - 25 ml', 'Wilton 11743 3-Inch Low Profile Drill Press Vise', 'Forney 20859 Cutting Fluid, Industrial Pro Tap Magic, 1-Gallon', 'Install Bay Copper Ring Terminal Connector 8 Gauge 1/4 Inch 25 Pack - CUR814']","Remington Industries 22UL1007STRBLA UL1007 22 AWG Gauge Stranded Hook-Up Wire, 300V, 0.0253"" Diameter, 100' Length, Black","[41, 1619, 343, 343, 849, 1305, 258, 2812, 40, 1289]",953,"['<a_165><b_151><c_145>', '<a_71><b_44><c_232>', '<a_193><b_2><c_255>', '<a_193><b_2><c_255>', '<a_71><b_2><c_237>', '<a_251><b_111><c_10>', '<a_165><b_59><c_62>', '<a_193><b_53><c_30>', '<a_173><b_93><c_124>', '<a_67><b_1><c_220>']",<a_67><b_152><c_11>
1135,A7419,"['Dremel PLA 3D Printer Filament, 1.75 mm Diameter, 0.5 kg Spool Weight, White Translucent', 'Flashforge Dreamer 3d Printer, Dual Extruder, Fully Enclosed Chamber, W/2 Free Spools', 'StrongFinish Thermal Glass for 3D Printer Platform Printing Bed 9"" x 6"" x 0.25', 'RioRand 1.75mm PLA Filament 1kg/2.2lb for 3D Printers Reprap, MakerBot Replicator 2, Afinia, Solidoodle etc.(Black)', 'K & R S-320 E-Z Bond Thick Big Gap Filling Instant Glue, 2 oz Bottle', 'eSUN 3D 1.75mm PETG White Filament 1kg (2.2lb), PETG 3D Printer Filament, 1.75mm Solid Opaque White']","3D Solutech Natural Clear 1.75mm 3D Printer PLA Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG)","[3675, 3583, 3486, 3042, 2370, 2893]",2161,"['<a_223><b_91><c_95>', '<a_91><b_180><c_94>', '<a_223><b_137><c_184>', '<a_223><b_93><c_212>', '<a_165><b_170><c_107>', '<a_223><b_126><c_20>']",<a_223><b_80><c_140>
1136,A4970,"['2 Meters PTFE Teflon Bowden Tube 1.75 Filament 3D printer RepRap Rostock Kossel', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'SCStyle 5 Meters GT2 2mm Pitch 6mm Wide Timing Belt for 3D Printer CNC', 'HICTOP 5PCS 0.4mm 3D Printer Extruder Nozzle Print Head for MK8 Makerbot RepRap Prusa', 'HICTOP 5PCS Aluminum Heater Block M6 Specialized for MK7 MK8 Makerbot Medel I3 3D Printer Extruder Hot End Heating Block', 'OctagonStar Flexible Couplings 5mm to 8mm NEMA 17 Shaft for RepRap 3D Printer or CNC Machine2PCS', 'Chemical Guys AIR_102_04 Premium Air Freshener and Odor Eliminator with Leather Scent (4 oz)']",MUYI 10 Meters = 32.8 Feet PTFE Teflon Tube OD 4mm ID 2mm for Chemical Electrical Medical Equipment,"[2513, 181, 181, 182, 3470, 3476, 2928, 2743, 1679]",3626,"['<a_158><b_138><c_227>', '<a_107><b_93><c_0>', '<a_107><b_93><c_0>', '<a_107><b_93><c_0>', '<a_23><b_192><c_221>', '<a_91><b_193><c_161>', '<a_23><b_93><c_2>', '<a_159><b_179><c_39>', '<a_173><b_112><c_33>']",<a_228><b_172><c_149>
1137,A6898,"['Uxcell Foot Pedal Switch', '50 Pack - 4.5""x.040""x7/8"" Quality Thin Cut Off Wheels Metal & Stainless Steel', 'Mill-Rose 70887 Blue Monster PTFE Pipe Thread Sealant Tape, 1-Inch x 1429-Inches, Blue', 'Shop-Vac 8018200 2.5-Inch Deluxe Pick-Up Accessory Kit Multifunction Conversion Set with Nozzles, Wands, Hoses & Tools']","Spears 497 Series PVC Pipe Fitting, Union with EPDM O-Ring, Schedule 40, 1"" Socket","[1731, 459, 350, 872]",211,"['<a_236><b_34><c_119>', '<a_193><b_106><c_86>', '<a_170><b_10><c_12>', '<a_24><b_173><c_242>']",<a_206><b_178><c_143>
1138,A675,"['Move-It 9299 6-Inch Steel Tri-Dolly, 200-lb Load Capacity', 'Dap 18120 Alex Plus Brown (18112) Raw Building Material', 'J-B Weld 50112 ClearWeld Quick-Setting Epoxy Syringe - Dries Clear - 25 ml', 'Adenna DLG675 Dark Light 9 mil Nitrile Powder Free Exam Gloves (Black, Medium) Box of 100']","Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes","[604, 260, 1098, 1043]",178,"['<a_87><b_132><c_204>', '<a_244><b_112><c_252>', '<a_165><b_159><c_154>', '<a_44><b_71><c_57>']",<a_224><b_17><c_207>
1139,A5746,"['Install Bay Copper Ring Terminal 2 Gauge 5/16 Inch 10 Pack - CUR2516', 'TEMCo 3/4"" Marine Heat Shrink Tube 3:1 Adhesive Glue Lined 4 ft BLACK', '3M Littmann  Classic III Monitoring Stethoscope, Pearl Pink Tube, 27 inch, 5633']",Santamedical Adult Deluxe Aneroid Sphygmomanometer - Professional Blood Pressure Monitor with Adult black cuff and Carrying case (Light Black),"[811, 3312, 3017]",840,"['<a_67><b_244><c_160>', '<a_228><b_198><c_25>', '<a_197><b_26><c_166>']",<a_180><b_15><c_221>
1140,A7197,"['NinjaFlex TPU 3D Printing Filament - 1.75mm .50kg - SAPPHIRE', 'HATCHBOX ABS 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Pink', 'MG Chemicals433-4L  d-Limonene (Pure Grade) Cleaner Degreaser and 3-D Printing Chemical, 1 Gallon Can , Clear', 'BAMtack! 1.75mm Black PLA 3D Printer Filament - 1kg (2.2 lbs) - Dimensional Accuracy +/- 0.03mm']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black","[2714, 3481, 2615, 2477]",562,"['<a_223><b_242><c_216>', '<a_223><b_198><c_249>', '<a_66><b_251><c_227>', '<a_223><b_160><c_251>']",<a_223><b_198><c_37>
1141,A7477,"['Inland 1.75mm Pink PLA 3D Printer Filament - 1kg Spool (2.2 lbs)', 'E3D Lite6 Full Kit - 1.75mm Universal (Direct) (12v)']","3D Solutech Silver Metal 3D Printer PLA Filament 1.75MM Filament, Dimensional Accuracy +/- 0.03 mm, 2.2 LBS (1.0KG) - PLA175TCMS","[2718, 3652]",2909,"['<a_158><b_72><c_220>', '<a_91><b_243><c_136>']",<a_223><b_80><c_84>
1142,A4909,"['Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black']","AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator",[159],181,['<a_107><b_90><c_68>'],<a_107><b_93><c_0>
